Episode    1 | Eps: 0.895 | Replay size:    43 | Episode length:  42 | Total reward: 39.52 | Mean Q-value:   0.000
Episode   21 | Eps: 0.799 | Replay size:   723 | Episode length:  36 | Total reward: 33.50 | Mean Q-value:   2.867
Episode   41 | Eps: 0.715 | Replay size:  1472 | Episode length:  42 | Total reward: 40.00 | Mean Q-value:   5.645
Episode   61 | Eps: 0.639 | Replay size:  2157 | Episode length:  29 | Total reward: 27.45 | Mean Q-value:   8.303
Episode   81 | Eps: 0.573 | Replay size:  2852 | Episode length:  30 | Total reward: 27.81 | Mean Q-value:  10.707
Episode  101 | Eps: 0.514 | Replay size:  3553 | Episode length:  51 | Total reward: 48.92 | Mean Q-value:  12.803
Episode  121 | Eps: 0.461 | Replay size:  4223 | Episode length:  29 | Total reward: 27.69 | Mean Q-value:  14.599
Episode  141 | Eps: 0.415 | Replay size:  5142 | Episode length:  52 | Total reward: 46.06 | Mean Q-value:  17.361
Episode  161 | Eps: 0.374 | Replay size:  6893 | Episode length:  93 | Total reward: 62.50 | Mean Q-value:  22.455
Episode  181 | Eps: 0.337 | Replay size:  8296 | Episode length:  94 | Total reward: 58.68 | Mean Q-value:  24.609
Episode  201 | Eps: 0.304 | Replay size:  9844 | Episode length:  72 | Total reward: 44.50 | Mean Q-value:  25.636
Episode  221 | Eps: 0.276 | Replay size: 10000 | Episode length:  99 | Total reward: 69.31 | Mean Q-value:  24.191
Episode  241 | Eps: 0.250 | Replay size: 10000 | Episode length:  95 | Total reward: 56.33 | Mean Q-value:  17.684
Episode  261 | Eps: 0.228 | Replay size: 10000 | Episode length: 130 | Total reward: 105.79 | Mean Q-value:  11.231
Episode  281 | Eps: 0.207 | Replay size: 10000 | Episode length: 171 | Total reward: 74.22 | Mean Q-value:  15.799
Episode  301 | Eps: 0.190 | Replay size: 10000 | Episode length: 219 | Total reward: 47.16 | Mean Q-value:   6.263
Episode  321 | Eps: 0.174 | Replay size: 10000 | Episode length: 249 | Total reward: 129.12 | Mean Q-value:   3.316
Episode  341 | Eps: 0.160 | Replay size: 10000 | Episode length: 265 | Total reward: 124.25 | Mean Q-value:  81.509
Episode  361 | Eps: 0.147 | Replay size: 10000 | Episode length: 799 | Total reward: 742.49 | Mean Q-value: 306.299
Episode  381 | Eps: 0.136 | Replay size: 10000 | Episode length: 423 | Total reward: 240.66 | Mean Q-value: 555.745
Episode  401 | Eps: 0.127 | Replay size: 10000 | Episode length: 239 | Total reward: 168.08 | Mean Q-value: 647.542
Episode  421 | Eps: 0.118 | Replay size: 10000 | Episode length: 277 | Total reward: 201.10 | Mean Q-value: 545.627
Episode  441 | Eps: 0.110 | Replay size: 10000 | Episode length: 243 | Total reward: 178.47 | Mean Q-value: 489.974
Episode  461 | Eps: 0.103 | Replay size: 10000 | Episode length: 189 | Total reward: 138.42 | Mean Q-value: 453.016
Episode  481 | Eps: 0.097 | Replay size: 10000 | Episode length: 325 | Total reward: 266.41 | Mean Q-value: 405.401
Episode  501 | Eps: 0.092 | Replay size: 10000 | Episode length: 317 | Total reward: 215.13 | Mean Q-value: 319.446
Episode  521 | Eps: 0.087 | Replay size: 10000 | Episode length: 620 | Total reward: 420.59 | Mean Q-value: 178.477
Episode  541 | Eps: 0.083 | Replay size: 10000 | Episode length: 109 | Total reward: 75.96 | Mean Q-value: 176.738
Episode  561 | Eps: 0.079 | Replay size: 10000 | Episode length:  89 | Total reward: 57.31 | Mean Q-value: 192.821
Episode  581 | Eps: 0.076 | Replay size: 10000 | Episode length: 115 | Total reward: 80.86 | Mean Q-value: 219.277
Episode  601 | Eps: 0.073 | Replay size: 10000 | Episode length:  93 | Total reward: 63.59 | Mean Q-value: 231.359
Episode  621 | Eps: 0.070 | Replay size: 10000 | Episode length:  89 | Total reward: 59.40 | Mean Q-value: 231.553
Episode  641 | Eps: 0.068 | Replay size: 10000 | Episode length:  89 | Total reward: 61.15 | Mean Q-value: 218.620
Episode  661 | Eps: 0.066 | Replay size: 10000 | Episode length:  78 | Total reward: 52.89 | Mean Q-value: 203.085
Episode  681 | Eps: 0.064 | Replay size: 10000 | Episode length:  82 | Total reward: 57.28 | Mean Q-value: 186.823
Episode  701 | Eps: 0.063 | Replay size: 10000 | Episode length:  83 | Total reward: 58.38 | Mean Q-value: 171.159
Episode  721 | Eps: 0.061 | Replay size: 10000 | Episode length:  70 | Total reward: 46.23 | Mean Q-value: 151.294
Episode  741 | Eps: 0.060 | Replay size: 10000 | Episode length:  81 | Total reward: 54.97 | Mean Q-value: 128.023
Episode  761 | Eps: 0.059 | Replay size: 10000 | Episode length:  94 | Total reward: 63.83 | Mean Q-value: 108.820
Episode  781 | Eps: 0.058 | Replay size: 10000 | Episode length: 114 | Total reward: 77.46 | Mean Q-value: -16.919
Episode  801 | Eps: 0.057 | Replay size: 10000 | Episode length: 799 | Total reward: 780.45 | Mean Q-value: 165.704
Episode  821 | Eps: 0.056 | Replay size: 10000 | Episode length: 120 | Total reward: 81.27 | Mean Q-value: 972.272
Episode  841 | Eps: 0.055 | Replay size: 10000 | Episode length: 128 | Total reward: 81.20 | Mean Q-value: 1032.534
Episode  861 | Eps: 0.055 | Replay size: 10000 | Episode length: 105 | Total reward: 68.09 | Mean Q-value: 1023.221
Episode  881 | Eps: 0.054 | Replay size: 10000 | Episode length:  94 | Total reward: 61.17 | Mean Q-value: 938.566
Episode  901 | Eps: 0.054 | Replay size: 10000 | Episode length:  88 | Total reward: 57.33 | Mean Q-value: 821.163
Episode  921 | Eps: 0.053 | Replay size: 10000 | Episode length:  95 | Total reward: 66.89 | Mean Q-value: 680.509
Episode  941 | Eps: 0.053 | Replay size: 10000 | Episode length: 140 | Total reward: 64.92 | Mean Q-value: 538.831
Episode  961 | Eps: 0.053 | Replay size: 10000 | Episode length:  94 | Total reward: 62.77 | Mean Q-value: 598.953
Episode  981 | Eps: 0.052 | Replay size: 10000 | Episode length:  83 | Total reward: 47.90 | Mean Q-value: 684.274
