Episode    0 | Steps:      0 | Noise Scale: 0.300 | Replay size:    47 | Episode length:  46 | Total reward:   43.54 | Mean Q-value:   0.000
Episode    5 | Steps:      0 | Noise Scale: 0.300 | Replay size:   213 | Episode length:  29 | Total reward:   27.10 | Mean Q-value:   0.660
Episode   10 | Steps:      0 | Noise Scale: 0.300 | Replay size:   424 | Episode length:  28 | Total reward:   26.32 | Mean Q-value:   0.806
Episode   15 | Steps:      0 | Noise Scale: 0.300 | Replay size:   651 | Episode length:  30 | Total reward:   28.34 | Mean Q-value:   0.879
Episode   20 | Steps:      0 | Noise Scale: 0.300 | Replay size:   813 | Episode length:  34 | Total reward:   31.56 | Mean Q-value:   0.917
Episode   25 | Steps:      0 | Noise Scale: 0.300 | Replay size:   967 | Episode length:  32 | Total reward:   30.12 | Mean Q-value:   0.958
Episode   30 | Steps:      0 | Noise Scale: 0.300 | Replay size:  1178 | Episode length:  34 | Total reward:   32.11 | Mean Q-value:   1.001
Episode   35 | Steps:      0 | Noise Scale: 0.300 | Replay size:  1314 | Episode length:  23 | Total reward:   20.91 | Mean Q-value:   1.034
Episode   40 | Steps:      0 | Noise Scale: 0.300 | Replay size:  1479 | Episode length:  26 | Total reward:   23.97 | Mean Q-value:   1.053
Episode   45 | Steps:      0 | Noise Scale: 0.300 | Replay size:  1656 | Episode length:  35 | Total reward:   32.33 | Mean Q-value:   1.089
Episode   50 | Steps:      0 | Noise Scale: 0.300 | Replay size:  1874 | Episode length:  30 | Total reward:   28.34 | Mean Q-value:   1.127
Episode   55 | Steps:      0 | Noise Scale: 0.300 | Replay size:  2044 | Episode length:  38 | Total reward:   36.00 | Mean Q-value:   1.158
Episode   60 | Steps:      0 | Noise Scale: 0.300 | Replay size:  2244 | Episode length:  36 | Total reward:   33.80 | Mean Q-value:   1.195
Episode   65 | Steps:      0 | Noise Scale: 0.300 | Replay size:  2403 | Episode length:  25 | Total reward:   23.07 | Mean Q-value:   1.228
Episode   70 | Steps:      0 | Noise Scale: 0.300 | Replay size:  2665 | Episode length:  92 | Total reward:   86.30 | Mean Q-value:   1.299
Episode   75 | Steps:      0 | Noise Scale: 0.300 | Replay size:  2835 | Episode length:  45 | Total reward:   42.37 | Mean Q-value:   1.370
Episode   80 | Steps:      0 | Noise Scale: 0.300 | Replay size:  3017 | Episode length:  40 | Total reward:   37.56 | Mean Q-value:   1.424
Episode   85 | Steps:      0 | Noise Scale: 0.300 | Replay size:  3203 | Episode length:  32 | Total reward:   30.21 | Mean Q-value:   1.506
Episode   90 | Steps:      0 | Noise Scale: 0.300 | Replay size:  3377 | Episode length:  29 | Total reward:   26.70 | Mean Q-value:   1.583
Episode   95 | Steps:      0 | Noise Scale: 0.300 | Replay size:  3598 | Episode length:  46 | Total reward:   43.44 | Mean Q-value:   1.677
Episode  100 | Steps:      0 | Noise Scale: 0.300 | Replay size:  3797 | Episode length:  28 | Total reward:   25.92 | Mean Q-value:   1.765
Episode  105 | Steps:      0 | Noise Scale: 0.300 | Replay size:  4000 | Episode length:  39 | Total reward:   36.63 | Mean Q-value:   1.846
Episode  110 | Steps:      0 | Noise Scale: 0.300 | Replay size:  4154 | Episode length:  23 | Total reward:   21.64 | Mean Q-value:   1.914
Episode  115 | Steps:      0 | Noise Scale: 0.300 | Replay size:  4326 | Episode length:  29 | Total reward:   27.27 | Mean Q-value:   1.990
Episode  120 | Steps:      0 | Noise Scale: 0.300 | Replay size:  4504 | Episode length:  59 | Total reward:   56.18 | Mean Q-value:   2.059
Episode  125 | Steps:      0 | Noise Scale: 0.300 | Replay size:  4694 | Episode length:  26 | Total reward:   23.78 | Mean Q-value:   2.141
Episode  130 | Steps:      0 | Noise Scale: 0.300 | Replay size:  4876 | Episode length:  38 | Total reward:   35.55 | Mean Q-value:   2.220
Episode  135 | Steps:      0 | Noise Scale: 0.300 | Replay size:  5076 | Episode length:  55 | Total reward:   51.69 | Mean Q-value:   2.292
Episode  140 | Steps:      0 | Noise Scale: 0.300 | Replay size:  5306 | Episode length:  64 | Total reward:   60.08 | Mean Q-value:   2.392
Episode  145 | Steps:      0 | Noise Scale: 0.300 | Replay size:  5493 | Episode length:  37 | Total reward:   35.00 | Mean Q-value:   2.476
Episode  150 | Steps:      0 | Noise Scale: 0.300 | Replay size:  5671 | Episode length:  53 | Total reward:   49.65 | Mean Q-value:   2.540
Episode  155 | Steps:      0 | Noise Scale: 0.300 | Replay size:  5909 | Episode length:  30 | Total reward:   27.90 | Mean Q-value:   2.644
Episode  160 | Steps:      0 | Noise Scale: 0.300 | Replay size:  6126 | Episode length:  32 | Total reward:   29.98 | Mean Q-value:   2.736
Episode  165 | Steps:      0 | Noise Scale: 0.300 | Replay size:  6295 | Episode length:  33 | Total reward:   30.99 | Mean Q-value:   2.791
Episode  170 | Steps:      0 | Noise Scale: 0.300 | Replay size:  6484 | Episode length:  35 | Total reward:   32.58 | Mean Q-value:   2.855
Episode  175 | Steps:      0 | Noise Scale: 0.300 | Replay size:  6700 | Episode length:  35 | Total reward:   32.86 | Mean Q-value:   2.955
Episode  180 | Steps:      0 | Noise Scale: 0.300 | Replay size:  6847 | Episode length:  26 | Total reward:   23.71 | Mean Q-value:   3.009
Episode  185 | Steps:      0 | Noise Scale: 0.300 | Replay size:  7066 | Episode length:  39 | Total reward:   36.39 | Mean Q-value:   3.109
Episode  190 | Steps:      0 | Noise Scale: 0.300 | Replay size:  7230 | Episode length:  29 | Total reward:   27.31 | Mean Q-value:   3.166
Episode  195 | Steps:      0 | Noise Scale: 0.300 | Replay size:  7386 | Episode length:  24 | Total reward:   22.27 | Mean Q-value:   3.239
Episode  200 | Steps:      0 | Noise Scale: 0.300 | Replay size:  7574 | Episode length:  28 | Total reward:   25.97 | Mean Q-value:   3.313
Episode  205 | Steps:      0 | Noise Scale: 0.300 | Replay size:  7732 | Episode length:  24 | Total reward:   22.18 | Mean Q-value:   3.373
Episode  210 | Steps:      0 | Noise Scale: 0.300 | Replay size:  7900 | Episode length:  32 | Total reward:   30.14 | Mean Q-value:   3.430
Episode  215 | Steps:      0 | Noise Scale: 0.300 | Replay size:  8147 | Episode length:  41 | Total reward:   38.77 | Mean Q-value:   3.530
Episode  220 | Steps:      0 | Noise Scale: 0.300 | Replay size:  8371 | Episode length:  40 | Total reward:   37.60 | Mean Q-value:   3.629
Episode  225 | Steps:      0 | Noise Scale: 0.300 | Replay size:  8550 | Episode length:  40 | Total reward:   37.55 | Mean Q-value:   3.682
Episode  230 | Steps:      0 | Noise Scale: 0.300 | Replay size:  8730 | Episode length:  42 | Total reward:   39.24 | Mean Q-value:   3.763
Episode  235 | Steps:      0 | Noise Scale: 0.300 | Replay size:  8917 | Episode length:  58 | Total reward:   54.59 | Mean Q-value:   3.835
Episode  240 | Steps:      0 | Noise Scale: 0.300 | Replay size:  9119 | Episode length:  43 | Total reward:   40.50 | Mean Q-value:   3.925
Episode  245 | Steps:      0 | Noise Scale: 0.300 | Replay size:  9275 | Episode length:  25 | Total reward:   23.21 | Mean Q-value:   3.994
Episode  250 | Steps:      0 | Noise Scale: 0.300 | Replay size:  9461 | Episode length:  42 | Total reward:   39.23 | Mean Q-value:   4.064
Episode  255 | Steps:      0 | Noise Scale: 0.300 | Replay size:  9630 | Episode length:  28 | Total reward:   25.71 | Mean Q-value:   4.121
Episode  260 | Steps:      0 | Noise Scale: 0.300 | Replay size:  9810 | Episode length:  32 | Total reward:   30.25 | Mean Q-value:   4.215
Episode  265 | Steps:      0 | Noise Scale: 0.300 | Replay size: 10001 | Episode length:  56 | Total reward:   52.63 | Mean Q-value:   4.272
Episode  270 | Steps:      0 | Noise Scale: 0.300 | Replay size: 10180 | Episode length:  51 | Total reward:   48.70 | Mean Q-value:   4.344
Episode  275 | Steps:      0 | Noise Scale: 0.300 | Replay size: 10361 | Episode length:  35 | Total reward:   32.99 | Mean Q-value:   4.412
Episode  280 | Steps:      0 | Noise Scale: 0.300 | Replay size: 10542 | Episode length:  21 | Total reward:   19.45 | Mean Q-value:   4.488
Episode  285 | Steps:      0 | Noise Scale: 0.300 | Replay size: 10715 | Episode length:  28 | Total reward:   26.30 | Mean Q-value:   4.565
Episode  290 | Steps:      0 | Noise Scale: 0.300 | Replay size: 10904 | Episode length:  32 | Total reward:   29.99 | Mean Q-value:   4.637
Episode  295 | Steps:      0 | Noise Scale: 0.300 | Replay size: 11074 | Episode length:  21 | Total reward:   19.21 | Mean Q-value:   4.707
Episode  300 | Steps:      0 | Noise Scale: 0.300 | Replay size: 11254 | Episode length:  43 | Total reward:   40.40 | Mean Q-value:   4.775
Episode  305 | Steps:      0 | Noise Scale: 0.300 | Replay size: 11449 | Episode length:  60 | Total reward:   56.73 | Mean Q-value:   4.858
Episode  310 | Steps:      0 | Noise Scale: 0.300 | Replay size: 11624 | Episode length:  38 | Total reward:   35.36 | Mean Q-value:   4.916
Episode  315 | Steps:      0 | Noise Scale: 0.300 | Replay size: 11774 | Episode length:  30 | Total reward:   27.20 | Mean Q-value:   4.985
Episode  320 | Steps:      0 | Noise Scale: 0.300 | Replay size: 11987 | Episode length:  46 | Total reward:   42.88 | Mean Q-value:   5.056
Episode  325 | Steps:      0 | Noise Scale: 0.300 | Replay size: 12181 | Episode length:  34 | Total reward:   31.31 | Mean Q-value:   5.153
Episode  330 | Steps:      0 | Noise Scale: 0.300 | Replay size: 12360 | Episode length:  40 | Total reward:   37.56 | Mean Q-value:   5.202
Episode  335 | Steps:      0 | Noise Scale: 0.300 | Replay size: 12509 | Episode length:  29 | Total reward:   27.36 | Mean Q-value:   5.283
Episode  340 | Steps:      0 | Noise Scale: 0.300 | Replay size: 12726 | Episode length:  34 | Total reward:   32.02 | Mean Q-value:   5.368
Episode  345 | Steps:      0 | Noise Scale: 0.300 | Replay size: 12885 | Episode length:  35 | Total reward:   32.35 | Mean Q-value:   5.420
Episode  350 | Steps:      0 | Noise Scale: 0.300 | Replay size: 13042 | Episode length:  43 | Total reward:   40.63 | Mean Q-value:   5.478
Episode  355 | Steps:      0 | Noise Scale: 0.300 | Replay size: 13212 | Episode length:  35 | Total reward:   32.82 | Mean Q-value:   5.569
Episode  360 | Steps:      0 | Noise Scale: 0.300 | Replay size: 13402 | Episode length:  32 | Total reward:   29.64 | Mean Q-value:   5.622
Episode  365 | Steps:      0 | Noise Scale: 0.300 | Replay size: 13601 | Episode length:  27 | Total reward:   24.80 | Mean Q-value:   5.715
Episode  370 | Steps:      0 | Noise Scale: 0.300 | Replay size: 13814 | Episode length:  39 | Total reward:   36.87 | Mean Q-value:   5.777
Episode  375 | Steps:      0 | Noise Scale: 0.300 | Replay size: 14006 | Episode length:  30 | Total reward:   27.69 | Mean Q-value:   5.853
Episode  380 | Steps:      0 | Noise Scale: 0.300 | Replay size: 14183 | Episode length:  42 | Total reward:   39.58 | Mean Q-value:   5.922
Episode  385 | Steps:      0 | Noise Scale: 0.300 | Replay size: 14388 | Episode length:  45 | Total reward:   42.54 | Mean Q-value:   6.003
Episode  390 | Steps:      0 | Noise Scale: 0.300 | Replay size: 14543 | Episode length:  29 | Total reward:   27.09 | Mean Q-value:   6.067
Episode  395 | Steps:      0 | Noise Scale: 0.300 | Replay size: 14711 | Episode length:  26 | Total reward:   24.20 | Mean Q-value:   6.146
Episode  400 | Steps:      0 | Noise Scale: 0.300 | Replay size: 14900 | Episode length:  37 | Total reward:   35.36 | Mean Q-value:   6.226
Episode  405 | Steps:      0 | Noise Scale: 0.300 | Replay size: 15119 | Episode length:  35 | Total reward:   32.95 | Mean Q-value:   6.303
